Name,Dim,Time
ddot,100,12
ddot,100,2
ddot,100,2
ddot,100,2
ddot,100,2
ddot,100,2
ddot,100,2
ddot,100,2
ddot,100,1
dgemv,100,42
dgemv,100,29
dgemv,100,30
dgemv,100,29
dgemv,100,30
dgemv,100,29
dgemv,100,30
dgemv,100,30
dgemv,100,30
ddot,500,23
ddot,500,4
ddot,500,5
ddot,500,4
ddot,500,4
ddot,500,4
ddot,500,4
ddot,500,4
ddot,500,4
dgemv,500,1469
dgemv,500,1380
dgemv,500,1350
dgemv,500,1374
dgemv,500,1356
dgemv,500,1355
dgemv,500,1371
dgemv,500,1348
dgemv,500,1357
ddot,1000,47
ddot,1000,7
ddot,1000,7
ddot,1000,9
ddot,1000,7
ddot,1000,7
ddot,1000,8
ddot,1000,6
ddot,1000,7
dgemv,1000,6203
dgemv,1000,5495
dgemv,1000,6170
dgemv,1000,6150
dgemv,1000,5516
dgemv,1000,5850
dgemv,1000,5685
dgemv,1000,5487
dgemv,1000,5490
ddot,2000,49
ddot,2000,13
ddot,2000,12
ddot,2000,12
ddot,2000,12
ddot,2000,12
ddot,2000,13
ddot,2000,12
ddot,2000,12
dgemv,2000,21949
dgemv,2000,21672
dgemv,2000,21786
dgemv,2000,21664
dgemv,2000,21678
dgemv,2000,21736
dgemv,2000,21700
dgemv,2000,21697
dgemv,2000,21721
ddot,3000,57
ddot,3000,19
ddot,3000,18
ddot,3000,19
ddot,3000,21
ddot,3000,21
ddot,3000,19
ddot,3000,18
ddot,3000,18
dgemv,3000,51266
dgemv,3000,49507
dgemv,3000,50661
dgemv,3000,50748
dgemv,3000,49802
dgemv,3000,49664
dgemv,3000,50456
dgemv,3000,50304
dgemv,3000,50638
ddot,4000,80
ddot,4000,26
ddot,4000,23
ddot,4000,25
ddot,4000,25
ddot,4000,24
ddot,4000,25
ddot,4000,23
ddot,4000,25
dgemv,4000,87397
dgemv,4000,86658
dgemv,4000,86749
dgemv,4000,87113
dgemv,4000,86682
dgemv,4000,86557
dgemv,4000,86644
dgemv,4000,89657
dgemv,4000,90262
ddot,5000,106
ddot,5000,30
ddot,5000,30
ddot,5000,30
ddot,5000,29
ddot,5000,29
ddot,5000,29
ddot,5000,30
ddot,5000,30
dgemv,5000,138749
dgemv,5000,141025
dgemv,5000,138544
dgemv,5000,141630
dgemv,5000,136865
dgemv,5000,134961
dgemv,5000,134935
dgemv,5000,135020
dgemv,5000,134915
ddot,6000,107
ddot,6000,38
ddot,6000,36
ddot,6000,36
ddot,6000,37
ddot,6000,42
ddot,6000,35
ddot,6000,35
ddot,6000,36
dgemv,6000,215696
dgemv,6000,212947
dgemv,6000,208399
dgemv,6000,206772
dgemv,6000,209934
dgemv,6000,205621
dgemv,6000,197568
dgemv,6000,197713
dgemv,6000,197470
ddot,7000,119
ddot,7000,52
ddot,7000,41
ddot,7000,42
ddot,7000,40
ddot,7000,50
ddot,7000,41
ddot,7000,49
ddot,7000,41
dgemv,7000,273928
dgemv,7000,275661
dgemv,7000,275995
dgemv,7000,274176
dgemv,7000,267003
dgemv,7000,266424
dgemv,7000,274811
dgemv,7000,277634
dgemv,7000,274473
ddot,8000,165
ddot,8000,52
ddot,8000,60
ddot,8000,61
ddot,8000,54
ddot,8000,53
ddot,8000,61
ddot,8000,51
ddot,8000,60
dgemv,8000,425073
dgemv,8000,431664
dgemv,8000,419835
dgemv,8000,422342
dgemv,8000,398717
dgemv,8000,403941
dgemv,8000,426848
dgemv,8000,426741
dgemv,8000,420537
ddot,9000,164
ddot,9000,58
ddot,9000,74
ddot,9000,52
ddot,9000,53
ddot,9000,54
ddot,9000,55
ddot,9000,58
ddot,9000,54
dgemv,9000,473849
dgemv,9000,471758
dgemv,9000,470894
dgemv,9000,445400
dgemv,9000,458377
dgemv,9000,470174
dgemv,9000,478306
dgemv,9000,468060
dgemv,9000,455814
ddot,10000,129
ddot,10000,64
ddot,10000,60
ddot,10000,58
ddot,10000,57
ddot,10000,57
ddot,10000,58
ddot,10000,57
ddot,10000,58
dgemv,10000,562841
dgemv,10000,557502
dgemv,10000,545292
dgemv,10000,565950
dgemv,10000,560932
dgemv,10000,563426
dgemv,10000,543211
dgemv,10000,560218
dgemv,10000,559872

